ChEMBL ID,AlogP,PSA,HBA,HBD,Smiles,MW,pIC50
CHEMBL430717,3.09,112.27,9,1,COc1cc2nc(N3CCN(C(=O)COc4c(OC)cccc4C(C)C)CC3)nc(N)c2cc1OC,433.4220000000002,7.764471553092451
CHEMBL585902,4.64,85.83,6,2,Cn1c(NC[C@@H](N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O,270.248,7.1249387366083
CHEMBL496594,6.38,94.69,8,2,N#Cc1cnc2c(Cl)cc(NCc3cn(CCN4CCCCCC4)nn3)cc2c1Nc1ccc(F)c(Cl)c1,314.85999999999996,7.552841968657781
CHEMBL101309,7.29,72.47,4,1,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,372.4170000000001,4.920818753952375
CHEMBL543113,4.70,12.47,2,0,CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2.Cl,267.7219999999999,7.1487416512809245
CHEMBL243001,4.76,47.36,5,0,Cc1nc2ccc(Oc3ccc(F)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,89.09400000000001,4.886056647693163
CHEMBL583194,4.04,87.99,8,1,c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6[nH]ccc6c5)nc43)CC2)c1,368.5240000000001,8.045757490560675
CHEMBL254778,3.87,61.36,4,1,O=C(Nc1ccc(C(F)(F)F)cn1)N1CCN(c2ncccc2C(F)(F)F)CC1,381.25900000000024,7.187086643357144
CHEMBL441472,4.39,48.47,3,1,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,266.098,8.318758762624412
CHEMBL560590,4.72,45.23,2,1,O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1,438.57100000000014,7.790484985457369
CHEMBL3349370,5.76,140.77,9,3,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1,356.057,8.045757490560675
